IndexNote;IndexClient;nbcouverts;DateDepart;DateArrivee;NbAdultes;NbEnfants;Nuitees;IModeReglement;DatePrestation;PrixUnitaire;Quantite;IProduitVente;CodeStatistique;LibelleStatistique;IndexPointDeVente
7;6;;09/06/2017;06/06/2017;1;0;3;3;157;0,95;1;154;TAXE;TAXE-SEJOUR;1
7;6;;09/06/2017;06/06/2017;1;0;3;3;158;0,95;1;154;TAXE;TAXE-SEJOUR;1
7;6;;09/06/2017;06/06/2017;1;0;3;3;156;69;1;141;CHB;CHAMBRE;1
7;6;;09/06/2017;06/06/2017;1;0;3;3;157;69;1;141;CHB;CHAMBRE;1
7;6;;09/06/2017;06/06/2017;1;0;3;3;158;69;1;141;CHB;CHAMBRE;1
9;11;;08/06/2017;07/06/2017;1;0;1;3;157;0,95;1;154;TAXE;TAXE-SEJOUR;1
9;11;;08/06/2017;07/06/2017;1;0;1;3;157;69;1;141;CHB;CHAMBRE;1
9;11;;08/06/2017;07/06/2017;1;0;1;3;157;11;1;146;PDJ;PETIT-DEJ;1
10;18;;09/06/2017;07/06/2017;2;0;2;3;157;0,95;2;154;TAXE;TAXE-SEJOUR;1
10;18;;09/06/2017;07/06/2017;2;0;2;3;158;0,95;2;154;TAXE;TAXE-SEJOUR;1
10;18;;09/06/2017;07/06/2017;2;0;2;3;157;69;1;144;CHB;CHAMBRE;1
10;18;;09/06/2017;07/06/2017;2;0;2;3;158;69;1;144;CHB;CHAMBRE;1
10;18;;09/06/2017;07/06/2017;2;0;2;3;157;7;1;155;DIV;DIVERS
10;18;;09/06/2017;07/06/2017;2;0;2;3;158;7;1;155;DIV;DIVERS
11;12;;09/06/2017;08/06/2017;2;0;1;3;158;0,95;2;154;TAXE;TAXE-SEJOUR;1
11;12;;09/06/2017;08/06/2017;2;0;1;3;158;83;1;142;CHB;CHAMBRE;1
1;2;;09/06/2017;06/06/2017;2;0;3;3;156;0,95;2;154;TAXE;TAXE-SEJOUR;1
1;2;;09/06/2017;06/06/2017;2;0;3;3;157;0,95;2;154;TAXE;TAXE-SEJOUR;1
1;2;;09/06/2017;06/06/2017;2;0;3;3;158;0,95;2;154;TAXE;TAXE-SEJOUR;1
1;2;;09/06/2017;06/06/2017;2;0;3;3;156;69;1;141;CHB;CHAMBRE;1
1;2;;09/06/2017;06/06/2017;2;0;3;3;157;69;1;141;CHB;CHAMBRE;1
1;2;;09/06/2017;06/06/2017;2;0;3;3;158;69;1;141;CHB;CHAMBRE;1
1;2;;09/06/2017;06/06/2017;2;0;3;3;156;11;2;146;PDJ;PETIT-DEJ;1
1;2;;09/06/2017;06/06/2017;2;0;3;3;157;11;2;146;PDJ;PETIT-DEJ;1
1;2;;09/06/2017;06/06/2017;2;0;3;3;158;11;2;146;PDJ;PETIT-DEJ;1
2;3;;07/06/2017;06/06/2017;2;0;1;1;156;0,95;2;154;TAXE;TAXE-SEJOUR;1
2;3;;07/06/2017;06/06/2017;2;0;1;1;156;83;1;144;CHB;CHAMBRE;1
2;3;;07/06/2017;06/06/2017;2;0;1;1;156;11;2;146;PDJ;PETIT-DEJ;1
3;4;;07/06/2017;06/06/2017;2;0;1;3;156;0,95;2;154;TAXE;TAXE-SEJOUR;1
3;4;;07/06/2017;06/06/2017;2;0;1;1;156;0,95;2;154;TAXE;TAXE-SEJOUR;1
3;4;;07/06/2017;06/06/2017;2;0;1;3;156;83;1;141;CHB;CHAMBRE;1
3;4;;07/06/2017;06/06/2017;2;0;1;1;156;83;1;141;CHB;CHAMBRE;1
3;4;;07/06/2017;06/06/2017;2;0;1;3;156;11;2;146;PDJ;PETIT-DEJ;1
3;4;;07/06/2017;06/06/2017;2;0;1;1;156;11;2;146;PDJ;PETIT-DEJ;1
5;5;;08/06/2017;06/06/2017;2;0;2;3;156;0,95;2;154;TAXE;TAXE-SEJOUR;1
5;5;;08/06/2017;06/06/2017;2;0;2;3;157;0,95;2;154;TAXE;TAXE-SEJOUR;1
5;5;;08/06/2017;06/06/2017;2;0;2;3;156;69;1;142;CHB;CHAMBRE;1
5;5;;08/06/2017;06/06/2017;2;0;2;3;157;69;1;142;CHB;CHAMBRE;1
7;6;;09/06/2017;06/06/2017;1;0;3;3;156;0,95;1;154;TAXE;TAXE-SEJOUR;1
7;6;;09/06/2017;06/06/2017;1;0;3;3;159;11;3;146;PDJ;PETIT-DEJ;1
16;121;;10/06/2017;09/06/2017;1;0;1;3;159;0,95;1;154;TAXE;TAXE-SEJOUR;1
16;121;;10/06/2017;09/06/2017;1;0;1;3;159;69;1;141;CHB;CHAMBRE;1
17;16;;15/06/2017;09/06/2017;2;0;6;2;159;0,95;2;154;TAXE;TAXE-SEJOUR;1
17;16;;15/06/2017;09/06/2017;2;0;6;2;160;0,95;2;154;TAXE;TAXE-SEJOUR;1
17;16;;15/06/2017;09/06/2017;2;0;6;2;161;0,95;2;154;TAXE;TAXE-SEJOUR;1
17;16;;15/06/2017;09/06/2017;2;0;6;2;162;0,95;2;154;TAXE;TAXE-SEJOUR;1
17;16;;15/06/2017;09/06/2017;2;0;6;2;163;0,95;2;154;TAXE;TAXE-SEJOUR;1
17;16;;15/06/2017;09/06/2017;2;0;6;2;164;0,95;2;154;TAXE;TAXE-SEJOUR;1
18;118;;10/06/2017;09/06/2017;2;0;1;2;159;0,95;2;154;TAXE;TAXE-SEJOUR;1
18;118;;10/06/2017;09/06/2017;2;0;1;2;159;74,7;1;142;CHB;CHAMBRE;1
18;118;;10/06/2017;09/06/2017;2;0;1;2;159;11;2;146;PDJ;PETIT-DEJ;1
19;13;;10/06/2017;09/06/2017;2;0;1;3;159;0,95;2;154;TAXE;TAXE-SEJOUR;1
19;13;;10/06/2017;09/06/2017;2;0;1;3;159;83;1;142;CHB;CHAMBRE;1
19;13;;10/06/2017;09/06/2017;2;0;1;3;159;11;2;146;PDJ;PETIT-DEJ;1
20;22;;11/06/2017;09/06/2017;2;0;2;3;159;0,95;2;154;TAXE;TAXE-SEJOUR;1
20;22;;11/06/2017;09/06/2017;2;0;2;3;160;0,95;2;154;TAXE;TAXE-SEJOUR;1
20;22;;11/06/2017;09/06/2017;2;0;2;3;159;83;1;145;CHB;CHAMBRE;1
20;22;;11/06/2017;09/06/2017;2;0;2;3;160;83;1;145;CHB;CHAMBRE;1
20;22;;11/06/2017;09/06/2017;2;0;2;3;159;11;1;146;PDJ;PETIT-DEJ;1
20;22;;11/06/2017;09/06/2017;2;0;2;3;160;11;1;146;PDJ;PETIT-DEJ;1
21;14;;10/06/2017;09/06/2017;2;0;1;3;159;0,95;2;154;TAXE;TAXE-SEJOUR;1
21;14;;10/06/2017;09/06/2017;2;0;1;3;159;83;1;141;CHB;CHAMBRE;1
21;14;;10/06/2017;09/06/2017;2;0;1;3;159;11;2;146;PDJ;PETIT-DEJ;1
22;122;;10/06/2017;09/06/2017;2;0;1;1;159;0,95;2;154;TAXE;TAXE-SEJOUR;1
22;122;;10/06/2017;09/06/2017;2;0;1;1;159;69;1;144;CHB;CHAMBRE;1
23;23;;11/06/2017;09/06/2017;2;0;2;3;159;0,95;2;154;TAXE;TAXE-SEJOUR;1
23;23;;11/06/2017;09/06/2017;2;0;2;3;160;0,95;2;154;TAXE;TAXE-SEJOUR;1
23;23;;11/06/2017;09/06/2017;2;0;2;3;159;83;1;145;CHB;CHAMBRE;1
23;23;;11/06/2017;09/06/2017;2;0;2;3;160;83;1;145;CHB;CHAMBRE;1
23;23;;11/06/2017;09/06/2017;2;0;2;3;159;11;1;146;PDJ;PETIT-DEJ;1
23;23;;11/06/2017;09/06/2017;2;0;2;3;160;11;1;146;PDJ;PETIT-DEJ;1
25;21;;11/06/2017;10/06/2017;1;0;1;3;160;0,95;1;154;TAXE;TAXE-SEJOUR;1
25;21;;11/06/2017;10/06/2017;1;0;1;3;160;83;1;145;CHB;CHAMBRE;1
25;21;;11/06/2017;10/06/2017;1;0;1;3;160;11;1;146;PDJ;PETIT-DEJ;1
26;25;;11/06/2017;10/06/2017;1;0;1;3;160;0,95;2;154;TAXE;TAXE-SEJOUR;1
26;25;;11/06/2017;10/06/2017;1;0;1;3;160;83;1;141;CHB;CHAMBRE;1
26;25;;11/06/2017;10/06/2017;1;0;1;3;160;11;1;146;PDJ;PETIT-DEJ;1
28;24;;11/06/2017;10/06/2017;2;0;1;1;160;0,95;2;154;TAXE;TAXE-SEJOUR;1
28;24;;11/06/2017;10/06/2017;2;0;1;1;160;83;1;142;CHB;CHAMBRE;1
28;24;;11/06/2017;10/06/2017;2;0;1;1;160;11;1;146;PDJ;PETIT-DEJ;1
