IndexNote;IndexClient;nbcouverts;DateDepart;DateArrivee;NbAdultes;NbEnfants;Nuitees;IModeReglement;DatePrestation;PrixUnitaire;Quantite;IProduitVente;CodeStatistique;LibelleStatistique;IndexPointDeVente
9;11;1;08/06/2017;07/06/2017;1;0;1;3;07/06/2017;22;1;14;REST;RESTAURANT;2
5;5;2;08/06/2017;06/06/2017;2;0;2;3;08/06/2017;17;2;32;BARA;BAR-ALCOOL;3
5;5;2;08/06/2017;06/06/2017;2;0;2;3;08/06/2017;6;1;120;BARS;BAR-SOFT;3
5;5;2;08/06/2017;06/06/2017;2;0;2;3;08/06/2017;4;1;112;BARA;BAR-ALCOOL;3
9;11;1;08/06/2017;07/06/2017;1;0;1;3;08/06/2017;4;3;105;BARA;BAR-ALCOOL;3
12;;2;;;;;;3;08/06/2017;15;1;6;REST;RESTAURANT;2
12;;2;;;;;;3;08/06/2017;21;1;17;REST;RESTAURANT;2
12;;2;;;;;;3;08/06/2017;4;1;193;BARS;BAR-SOFT;3
12;;2;;;;;;3;08/06/2017;21;1;83;BARA;BAR-ALCOOL;3
12;;2;;;;;;3;08/06/2017;6;1;120;BARS;BAR-SOFT;3
3;4;2;07/06/2017;06/06/2017;2;0;1;3;06/06/2017;18;1;15;REST;RESTAURANT;2
3;4;2;07/06/2017;06/06/2017;2;0;1;1;06/06/2017;18;1;15;REST;RESTAURANT;2
3;4;2;07/06/2017;06/06/2017;2;0;1;3;06/06/2017;20;1;12;REST;RESTAURANT;2
3;4;2;07/06/2017;06/06/2017;2;0;1;1;06/06/2017;20;1;12;REST;RESTAURANT;2
3;4;2;07/06/2017;06/06/2017;2;0;1;3;06/06/2017;8;2;18;REST;RESTAURANT;2
3;4;2;07/06/2017;06/06/2017;2;0;1;1;06/06/2017;8;2;18;REST;RESTAURANT;2
3;4;2;07/06/2017;06/06/2017;2;0;1;3;06/06/2017;12;1;46;BARA;BAR-ALCOOL;3
3;4;2;07/06/2017;06/06/2017;2;0;1;1;06/06/2017;12;1;46;BARA;BAR-ALCOOL;3
5;5;2;08/06/2017;06/06/2017;2;0;2;3;06/06/2017;25,5;2;163;FORF;FORFAIT;2
5;5;2;08/06/2017;06/06/2017;2;0;2;3;07/06/2017;25,5;2;163;FORF;FORFAIT;2
12;;2;;;;;;3;08/06/2017;4;1;205;BARS;BAR-SOFT;3
12;;2;;;;;;3;08/06/2017;6;1;25;REST;RESTAURANT;2
12;;2;;;;;;3;08/06/2017;8;1;24;REST;RESTAURANT;2
13;;2;;;;;;3;08/06/2017;20;1;12;REST;RESTAURANT;2
13;;2;;;;;;3;08/06/2017;21;1;17;REST;RESTAURANT;2
13;;2;;;;;;3;08/06/2017;22;1;14;REST;RESTAURANT;2
13;;2;;;;;;3;08/06/2017;6;1;120;BARS;BAR-SOFT;3
13;;2;;;;;;3;08/06/2017;4;1;205;BARS;BAR-SOFT;3
13;;2;;;;;;3;08/06/2017;12;1;49;BARA;BAR-ALCOOL;3
14;;2;;;;;;3;09/06/2017;20;1;12;REST;RESTAURANT;2
14;;2;;;;;;3;09/06/2017;22;1;14;REST;RESTAURANT;2
14;;2;;;;;;3;09/06/2017;12;1;182;REST;RESTAURANT;2
14;;2;;;;;;3;09/06/2017;8;2;18;REST;RESTAURANT;2
14;;2;;;;;;3;09/06/2017;14;1;39;BARA;BAR-ALCOOL;3
15;;2;;;;;;1;09/06/2017;19;1;16;REST;RESTAURANT;2
15;;2;;;;;;1;09/06/2017;21;1;10;REST;RESTAURANT;2
15;;2;;;;;;1;09/06/2017;17;1;11;REST;RESTAURANT;2
15;;2;;;;;;1;09/06/2017;4;1;193;BARS;BAR-SOFT;3
14;;2;;;;;;3;09/06/2017;2;2;173;BARS;BAR-SOFT;3
15;;2;;;;;;1;09/06/2017;7;1;22;REST;RESTAURANT;2
15;;2;;;;;;1;09/06/2017;2;1;173;BARS;BAR-SOFT;3
17;16;2;15/06/2017;09/06/2017;2;0;6;2;09/06/2017;55;2;179;FORF;FORFAIT;2
17;16;2;15/06/2017;09/06/2017;2;0;6;2;10/06/2017;55;2;179;FORF;FORFAIT;2
17;16;2;15/06/2017;09/06/2017;2;0;6;2;11/06/2017;55;2;179;FORF;FORFAIT;2
17;16;2;15/06/2017;09/06/2017;2;0;6;2;12/06/2017;55;2;179;FORF;FORFAIT;2
