DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,PRECIP_TOTAL_DAY_MM,CLOUDCOVER_AVG_PERCENT,IndexDate
2018-01-01,7,5,10,34.1,79625,365
2018-01-02,7,3,5,15.3,87,366
2018-01-03,10,8,17,26.7,95875,367
2018-01-04,10,8,12,83.9,98625,368
2018-01-05,10,9,7,9.7,78.75,369
2018-01-06,11,5,5,0.2,35.25,370
2018-01-07,9,3,7,0,46.25,371
2018-01-08,11,5,6,0,50625,372
2018-01-09,9,5,5,9.5,83.5,373
2018-01-10,8,2,5,0.2,49.75,374
2018-01-11,8,3,6,0.7,53,375
2018-01-12,7,3,5,0,33375,376
2018-01-13,10,3,4,0,4.75,377
2018-01-14,8,2,5,0,40625,378
2018-01-15,8,2,8,3.3,46.75,379
2018-01-16,8,7,13,34.6,94875,380
2018-01-17,7,4,18,30.1,79.25,381
2018-01-18,7,4,9,30.1,94.75,382
2018-01-19,8,6,5,21,81.75,383
2018-01-20,5,1,8,21.4,89.5,384
2018-01-21,6,5,6,41.4,97.75,385
2018-01-22,10,7,12,91.7,98625,386
2018-01-23,10,5,4,10.2,53875,387
2018-01-24,15,5,5,0,6.75,388
2018-01-25,13,5,5,0,31875,389
2018-01-26,7,5,5,3.9,75.75,390
2018-01-27,9,4,4,2,51375,391
2018-01-28,10,4,5,0,11.75,392
2018-01-29,10,4,4,0,34.5,393
2018-01-30,10,4,4,0.1,51.25,394
2018-01-31,11,5,6,0.1,23125,395
2018-02-01,6,4,6,45.4,72.5,396
2018-02-02,5,2,9,0.1,41625,397
2018-02-03,4,1,5,0.7,68375,398
2018-02-04,6,1,5,0,39375,399
2018-02-05,5,1,5,1.3,67,400
2018-02-06,9,4,4,0.1,72.25,401
2018-02-07,2,0,6,0.8,98375,402
2018-02-08,4,1,5,0.9,88375,403
2018-02-09,8,2,5,0.2,36125,404
2018-02-10,3,0,7,6.3,88875,405
2018-02-11,5,1,4,10.1,83.25,406
2018-02-12,3,0,11,10.5,75,407
2018-02-13,6,0,4,0.7,32125,408
2018-02-14,7,2,3,3,69875,409
2018-02-15,7,3,6,21.3,92625,410
2018-02-16,13,7,4,8.2,69625,411
2018-02-17,8,7,7,27.3,83.25,412
2018-02-18,6,2,7,0.9,65,413
2018-02-19,8,5,4,0,12.25,414
2018-02-20,7,3,10,0,27625,415
2018-02-21,5,1,8,0,9.25,416
2018-02-22,5,0,7,0,46125,417
2018-02-23,7,0,6,0,41125,418
2018-02-24,7,1,6,0,24.25,419
2018-02-25,5,1,10,0,23625,420
2018-02-26,-2,-5,13,0,15.5,421
2018-02-27,-2,-8,7,0,13.25,422
