IndexDate,Annee,Mois,Jour,Date,VacancesScolaires
0,2017,01,01,2017-01-01,true
1,2017,01,02,2017-01-02,true
2,2017,01,03,2017-01-03,false
3,2017,01,04,2017-01-04,false
4,2017,01,05,2017-01-05,false
5,2017,01,06,2017-01-06,false
6,2017,01,07,2017-01-07,false
7,2017,01,08,2017-01-08,false
8,2017,01,09,2017-01-09,false
9,2017,01,10,2017-01-10,false
10,2017,01,11,2017-01-11,false
11,2017,01,12,2017-01-12,false
12,2017,01,13,2017-01-13,false
13,2017,01,14,2017-01-14,false
14,2017,01,15,2017-01-15,false
15,2017,01,16,2017-01-16,false
16,2017,01,17,2017-01-17,false
17,2017,01,18,2017-01-18,false
18,2017,01,19,2017-01-19,false
19,2017,01,20,2017-01-20,false
20,2017,01,21,2017-01-21,false
21,2017,01,22,2017-01-22,false
22,2017,01,23,2017-01-23,false
23,2017,01,24,2017-01-24,false
24,2017,01,25,2017-01-25,false
25,2017,01,26,2017-01-26,false
26,2017,01,27,2017-01-27,false
27,2017,01,28,2017-01-28,false
28,2017,01,29,2017-01-29,false
29,2017,01,30,2017-01-30,false
30,2017,01,31,2017-01-31,false
31,2017,02,01,2017-02-01,false
32,2017,02,02,2017-02-02,false
33,2017,02,03,2017-02-03,false
34,2017,02,04,2017-02-04,true
35,2017,02,05,2017-02-05,true
36,2017,02,06,2017-02-06,true
37,2017,02,07,2017-02-07,true
38,2017,02,08,2017-02-08,true
39,2017,02,09,2017-02-09,true
40,2017,02,10,2017-02-10,true
41,2017,02,11,2017-02-11,true
42,2017,02,12,2017-02-12,true
43,2017,02,13,2017-02-13,true
44,2017,02,14,2017-02-14,true
45,2017,02,15,2017-02-15,true
46,2017,02,16,2017-02-16,true
47,2017,02,17,2017-02-17,true
48,2017,02,18,2017-02-18,true
49,2017,02,19,2017-02-19,true
50,2017,02,20,2017-02-20,true
51,2017,02,21,2017-02-21,true
52,2017,02,22,2017-02-22,true
53,2017,02,23,2017-02-23,true
54,2017,02,24,2017-02-24,true
55,2017,02,25,2017-02-25,true
56,2017,02,26,2017-02-26,true
57,2017,02,27,2017-02-27,true
58,2017,02,28,2017-02-28,true
59,2017,03,01,2017-03-01,true
60,2017,03,02,2017-03-02,true
61,2017,03,03,2017-03-03,true
62,2017,03,04,2017-03-04,true
63,2017,03,05,2017-03-05,true
64,2017,03,06,2017-03-06,false
65,2017,03,07,2017-03-07,false
66,2017,03,08,2017-03-08,false
67,2017,03,09,2017-03-09,false
68,2017,03,10,2017-03-10,false
69,2017,03,11,2017-03-11,false
70,2017,03,12,2017-03-12,false
71,2017,03,13,2017-03-13,false
72,2017,03,14,2017-03-14,false
73,2017,03,15,2017-03-15,false
74,2017,03,16,2017-03-16,false
75,2017,03,17,2017-03-17,false
76,2017,03,18,2017-03-18,false
77,2017,03,19,2017-03-19,false
78,2017,03,20,2017-03-20,false
79,2017,03,21,2017-03-21,false
80,2017,03,22,2017-03-22,false
81,2017,03,23,2017-03-23,false
82,2017,03,24,2017-03-24,false
83,2017,03,25,2017-03-25,false
84,2017,03,26,2017-03-26,false
85,2017,03,27,2017-03-27,false
86,2017,03,28,2017-03-28,false
87,2017,03,29,2017-03-29,false
