IndexDate;Annee;Mois;Jour;Date;Semaine;VacancesScolaires
0;2017;01;01;2017-01-01;1;true
1;2017;01;02;2017-01-02;1;true
2;2017;01;03;2017-01-03;1;false
3;2017;01;04;2017-01-04;1;false
4;2017;01;05;2017-01-05;1;false
5;2017;01;06;2017-01-06;1;false
6;2017;01;07;2017-01-07;1;false
7;2017;01;08;2017-01-08;2;false
8;2017;01;09;2017-01-09;2;false
9;2017;01;10;2017-01-10;2;false
10;2017;01;11;2017-01-11;2;false
11;2017;01;12;2017-01-12;2;false
12;2017;01;13;2017-01-13;2;false
13;2017;01;14;2017-01-14;2;false
14;2017;01;15;2017-01-15;3;false
15;2017;01;16;2017-01-16;3;false
16;2017;01;17;2017-01-17;3;false
17;2017;01;18;2017-01-18;3;false
18;2017;01;19;2017-01-19;3;false
19;2017;01;20;2017-01-20;3;false
20;2017;01;21;2017-01-21;3;false
21;2017;01;22;2017-01-22;4;false
22;2017;01;23;2017-01-23;4;false
23;2017;01;24;2017-01-24;4;false
24;2017;01;25;2017-01-25;4;false
25;2017;01;26;2017-01-26;4;false
26;2017;01;27;2017-01-27;4;false
27;2017;01;28;2017-01-28;4;false
28;2017;01;29;2017-01-29;5;false
29;2017;01;30;2017-01-30;5;false
30;2017;01;31;2017-01-31;5;false
31;2017;02;01;2017-02-01;5;false
32;2017;02;02;2017-02-02;5;false
33;2017;02;03;2017-02-03;5;false
34;2017;02;04;2017-02-04;5;true
35;2017;02;05;2017-02-05;6;true
36;2017;02;06;2017-02-06;6;true
37;2017;02;07;2017-02-07;6;true
38;2017;02;08;2017-02-08;6;true
39;2017;02;09;2017-02-09;6;true
40;2017;02;10;2017-02-10;6;true
41;2017;02;11;2017-02-11;6;true
42;2017;02;12;2017-02-12;7;true
43;2017;02;13;2017-02-13;7;true
44;2017;02;14;2017-02-14;7;true
45;2017;02;15;2017-02-15;7;true
46;2017;02;16;2017-02-16;7;true
47;2017;02;17;2017-02-17;7;true
48;2017;02;18;2017-02-18;7;true
49;2017;02;19;2017-02-19;8;true
50;2017;02;20;2017-02-20;8;true
51;2017;02;21;2017-02-21;8;true
52;2017;02;22;2017-02-22;8;true
53;2017;02;23;2017-02-23;8;true
54;2017;02;24;2017-02-24;8;true
55;2017;02;25;2017-02-25;8;true
56;2017;02;26;2017-02-26;9;true
57;2017;02;27;2017-02-27;9;true
