IndexNote;IndexClient;nbcouverts;DateDepart;DateArrivee;NbAdultes;NbEnfants;Nuitees;IModeReglement;DatePrestation;PrixUnitaire;Quantite;IProduitVente;CodeStatistique;LibelleStatistique;IndexDate;IndexMeteo
9;11;;2017-06-08;2017-06-07;1;0;1;3;2017-06-07;22;1;14;REST;RESTAURANT;157;158;1
5;5;;2017-06-08;2017-06-06;2;0;2;3;2017-06-08;17;2;32;BARA;BAR-ALCOOL;158;159;2
5;5;;2017-06-08;2017-06-06;2;0;2;3;2017-06-08;6;1;120;BARS;BAR-SOFT;158;159;2
5;5;;2017-06-08;2017-06-06;2;0;2;3;2017-06-08;4;1;112;BARA;BAR-ALCOOL;158;159;2
9;11;;2017-06-08;2017-06-07;1;0;1;3;2017-06-08;4;3;105;BARA;BAR-ALCOOL;158;159;1
12;;2;;;;;;3;2017-06-08;15;1;6;REST;RESTAURANT;158;159;0
12;;2;;;;;;3;2017-06-08;21;1;17;REST;RESTAURANT;158;159;0
12;;2;;;;;;3;2017-06-08;4;1;193;BARS;BAR-SOFT;158;159;0
12;;2;;;;;;3;2017-06-08;21;1;83;BARA;BAR-ALCOOL;158;159;0
12;;2;;;;;;3;2017-06-08;6;1;120;BARS;BAR-SOFT;158;159;0
3;4;;2017-06-07;2017-06-06;2;0;1;3;2017-06-06;18;1;15;REST;RESTAURANT;156;157;2
3;4;;2017-06-07;2017-06-06;2;0;1;1;2017-06-06;18;1;15;REST;RESTAURANT;156;157;2
3;4;;2017-06-07;2017-06-06;2;0;1;3;2017-06-06;20;1;12;REST;RESTAURANT;156;157;2
3;4;;2017-06-07;2017-06-06;2;0;1;1;2017-06-06;20;1;12;REST;RESTAURANT;156;157;2
3;4;;2017-06-07;2017-06-06;2;0;1;3;2017-06-06;8;2;18;REST;RESTAURANT;156;157;2
3;4;;2017-06-07;2017-06-06;2;0;1;1;2017-06-06;8;2;18;REST;RESTAURANT;156;157;2
3;4;;2017-06-07;2017-06-06;2;0;1;3;2017-06-06;12;1;46;BARA;BAR-ALCOOL;156;157;2
3;4;;2017-06-07;2017-06-06;2;0;1;1;2017-06-06;12;1;46;BARA;BAR-ALCOOL;156;157;2
5;5;;2017-06-08;2017-06-06;2;0;2;3;2017-06-06;25,5;2;163;FORF;FORFAIT;156;157;2
5;5;;2017-06-08;2017-06-06;2;0;2;3;2017-06-07;25,5;2;163;FORF;FORFAIT;157;158;2
12;;2;;;;;;3;2017-06-08;4;1;205;BARS;BAR-SOFT;158;159;0
12;;2;;;;;;3;2017-06-08;6;1;25;REST;RESTAURANT;158;159;0
12;;2;;;;;;3;2017-06-08;8;1;24;REST;RESTAURANT;158;159;0
13;;2;;;;;;3;2017-06-08;20;1;12;REST;RESTAURANT;158;159;0
13;;2;;;;;;3;2017-06-08;21;1;17;REST;RESTAURANT;158;159;0
13;;2;;;;;;3;2017-06-08;22;1;14;REST;RESTAURANT;158;159;0
13;;2;;;;;;3;2017-06-08;6;1;120;BARS;BAR-SOFT;158;159;0
13;;2;;;;;;3;2017-06-08;4;1;205;BARS;BAR-SOFT;158;159;0
13;;2;;;;;;3;2017-06-08;12;1;49;BARA;BAR-ALCOOL;158;159;0
14;;2;;;;;;3;2017-06-09;20;1;12;REST;RESTAURANT;159;160;0
14;;2;;;;;;3;2017-06-09;22;1;14;REST;RESTAURANT;159;160;0
14;;2;;;;;;3;2017-06-09;12;1;182;REST;RESTAURANT;159;160;0
14;;2;;;;;;3;2017-06-09;8;2;18;REST;RESTAURANT;159;160;0
14;;2;;;;;;3;2017-06-09;14;1;39;BARA;BAR-ALCOOL;159;160;0
15;;2;;;;;;1;2017-06-09;19;1;16;REST;RESTAURANT;159;160;0
15;;2;;;;;;1;2017-06-09;21;1;10;REST;RESTAURANT;159;160;0
15;;2;;;;;;1;2017-06-09;17;1;11;REST;RESTAURANT;159;160;0
15;;2;;;;;;1;2017-06-09;4;1;193;BARS;BAR-SOFT;159;160;0
14;;2;;;;;;3;2017-06-09;2;2;173;BARS;BAR-SOFT;159;160;0
15;;2;;;;;;1;2017-06-09;7;1;22;REST;RESTAURANT;159;160;0
15;;2;;;;;;1;2017-06-09;2;1;173;BARS;BAR-SOFT;159;160;0
17;16;;2017-06-15;2017-06-09;2;0;6;2;2017-06-09;55;2;179;FORF;FORFAIT;159;160;2
17;16;;2017-06-15;2017-06-09;2;0;6;2;2017-06-10;55;2;179;FORF;FORFAIT;160;161;2
17;16;;2017-06-15;2017-06-09;2;0;6;2;2017-06-11;55;2;179;FORF;FORFAIT;161;162;2
17;16;;2017-06-15;2017-06-09;2;0;6;2;2017-06-12;55;2;179;FORF;FORFAIT;162;163;2
17;16;;2017-06-15;2017-06-09;2;0;6;2;2017-06-13;55;2;179;FORF;FORFAIT;163;164;2
17;16;;2017-06-15;2017-06-09;2;0;6;2;2017-06-14;55;2;179;FORF;FORFAIT;164;165;2
16;121;;2017-06-10;2017-06-09;1;0;1;3;2017-06-09;4;1;189;BARA;BAR-ALCOOL;159;160;1
18;118;;2017-06-10;2017-06-09;2;0;1;2;2017-06-09;1,5;2;202;BARS;BAR-SOFT;159;160;2
19;13;;2017-06-10;2017-06-09;2;0;1;3;2017-06-09;4;3;106;BARA;BAR-ALCOOL;159;160;2
19;13;;2017-06-10;2017-06-09;2;0;1;3;2017-06-09;2,5;1;206;VEMP;VTE-EMPORTER;159;160;2
16;121;;2017-06-10;2017-06-09;1;0;1;3;2017-06-09;4;1;112;BARA;BAR-ALCOOL;159;160;1
24;;2;;;;;;1;2017-06-09;8;1;2;REST;RESTAURANT;159;160;0
24;;2;;;;;;1;2017-06-09;14;2;5;REST;RESTAURANT;159;160;0
24;;2;;;;;;1;2017-06-09;22;2;14;REST;RESTAURANT;159;160;0
24;;2;;;;;;1;2017-06-09;8;1;18;REST;RESTAURANT;159;160;0
24;;2;;;;;;1;2017-06-09;6;1;25;REST;RESTAURANT;159;160;0
24;;2;;;;;;1;2017-06-09;4;1;193;BARS;BAR-SOFT;159;160;0
24;;2;;;;;;1;2017-06-09;2;2;173;BARS;BAR-SOFT;159;160;0
24;;2;;;;;;1;2017-06-09;4;2;205;BARS;BAR-SOFT;159;160;0
16;121;;2017-06-10;2017-06-09;1;0;1;3;2017-06-09;12;1;46;BARA;BAR-ALCOOL;159;160;1
16;121;;2017-06-10;2017-06-09;1;0;1;3;2017-06-09;26;1;163;FORF;FORFAIT;159;160;1
18;118;;2017-06-10;2017-06-09;2;0;1;2;2017-06-09;19;1;13;REST;RESTAURANT;159;160;2
17;16;;2017-06-15;2017-06-09;2;0;6;2;2017-06-09;4,5;1;190;BARA;BAR-ALCOOL;159;160;2
27;;2;;;;;;3;2017-06-10;15;1;7;REST;RESTAURANT;160;161;0
27;;2;;;;;;3;2017-06-10;19;1;16;REST;RESTAURANT;160;161;0
27;;2;;;;;;3;2017-06-10;35;1;40;BARA;BAR-ALCOOL;160;161;0
27;;2;;;;;;3;2017-06-10;2;2;173;BARS;BAR-SOFT;160;161;0
29;16;;2017-06-17;2017-06-10;2;0;7;1;2017-06-10;55;2;179;FORF;FORFAIT;160;161;2
29;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-10;55;2;179;FORF;FORFAIT;160;161;2
29;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-10;55;2;179;FORF;FORFAIT;160;161;2
29;16;;2017-06-17;2017-06-10;2;0;7;1;2017-06-11;55;2;179;FORF;FORFAIT;161;162;2
29;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-11;55;2;179;FORF;FORFAIT;161;162;2
29;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-11;55;2;179;FORF;FORFAIT;161;162;2
29;16;;2017-06-17;2017-06-10;2;0;7;1;2017-06-12;55;2;179;FORF;FORFAIT;162;163;2
29;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-12;55;2;179;FORF;FORFAIT;162;163;2
29;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-12;55;2;179;FORF;FORFAIT;162;163;2
29;16;;2017-06-17;2017-06-10;2;0;7;1;2017-06-13;55;2;179;FORF;FORFAIT;163;164;2
29;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-13;55;2;179;FORF;FORFAIT;163;164;2
29;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-13;55;2;179;FORF;FORFAIT;163;164;2
29;16;;2017-06-17;2017-06-10;2;0;7;1;2017-06-14;55;2;179;FORF;FORFAIT;164;165;2
29;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-14;55;2;179;FORF;FORFAIT;164;165;2
29;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-14;55;2;179;FORF;FORFAIT;164;165;2
29;16;;2017-06-17;2017-06-10;2;0;7;1;2017-06-15;55;2;179;FORF;FORFAIT;165;166;2
29;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-15;55;2;179;FORF;FORFAIT;165;166;2
29;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-15;55;2;179;FORF;FORFAIT;165;166;2
29;16;;2017-06-17;2017-06-10;2;0;7;1;2017-06-16;55;2;179;FORF;FORFAIT;166;167;2
29;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-16;55;2;179;FORF;FORFAIT;166;167;2
29;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-16;55;2;179;FORF;FORFAIT;166;167;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-14;57;2;179;FORF;FORFAIT;164;165;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-15;57;2;179;FORF;FORFAIT;165;166;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-16;57;2;179;FORF;FORFAIT;166;167;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-10;57;2;179;FORF;FORFAIT;160;161;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-11;57;2;179;FORF;FORFAIT;161;162;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-12;57;2;179;FORF;FORFAIT;162;163;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
30;17;;2017-06-17;2017-06-10;2;0;7;5;2017-06-13;57;2;179;FORF;FORFAIT;163;164;2
