IndexNote;IndexClient;nbcouverts;DateDepart;DateArrivee;NbAdultes;NbEnfants;Nuitees;IModeReglement;DatePrestation;PrixUnitaire;Quantite;IProduitVente;CodeStatistique;LibelleStatistique;IndexDate;IndexMeteo
9;11;1;2017-06-08;2017-06-07;1;0;1;3;2017-06-07;22;1;14;REST;RESTAURANT;157;158
5;5;2;2017-06-08;2017-06-06;2;0;2;3;2017-06-08;17;2;32;BARA;BAR-ALCOOL;158;159
5;5;2;2017-06-08;2017-06-06;2;0;2;3;2017-06-08;6;1;120;BARS;BAR-SOFT;158;159
5;5;2;2017-06-08;2017-06-06;2;0;2;3;2017-06-08;4;1;112;BARA;BAR-ALCOOL;158;159
9;11;1;2017-06-08;2017-06-07;1;0;1;3;2017-06-08;4;3;105;BARA;BAR-ALCOOL;158;159
12;;2;;;;;;3;2017-06-08;15;1;6;REST;RESTAURANT;158;159
12;;2;;;;;;3;2017-06-08;21;1;17;REST;RESTAURANT;158;159
12;;2;;;;;;3;2017-06-08;4;1;193;BARS;BAR-SOFT;158;159
12;;2;;;;;;3;2017-06-08;21;1;83;BARA;BAR-ALCOOL;158;159
12;;2;;;;;;3;2017-06-08;6;1;120;BARS;BAR-SOFT;158;159
3;4;2;2017-06-07;2017-06-06;2;0;1;3;2017-06-06;18;1;15;REST;RESTAURANT;156;157
3;4;2;2017-06-07;2017-06-06;2;0;1;1;2017-06-06;18;1;15;REST;RESTAURANT;156;157
3;4;2;2017-06-07;2017-06-06;2;0;1;3;2017-06-06;20;1;12;REST;RESTAURANT;156;157
3;4;2;2017-06-07;2017-06-06;2;0;1;1;2017-06-06;20;1;12;REST;RESTAURANT;156;157
3;4;2;2017-06-07;2017-06-06;2;0;1;3;2017-06-06;8;2;18;REST;RESTAURANT;156;157
3;4;2;2017-06-07;2017-06-06;2;0;1;1;2017-06-06;8;2;18;REST;RESTAURANT;156;157
3;4;2;2017-06-07;2017-06-06;2;0;1;3;2017-06-06;12;1;46;BARA;BAR-ALCOOL;156;157
3;4;2;2017-06-07;2017-06-06;2;0;1;1;2017-06-06;12;1;46;BARA;BAR-ALCOOL;156;157
5;5;2;2017-06-08;2017-06-06;2;0;2;3;2017-06-06;25.5;2;163;FORF;FORFAIT;156;157
5;5;2;2017-06-08;2017-06-06;2;0;2;3;2017-06-07;25.5;2;163;FORF;FORFAIT;157;158
12;;2;;;;;;3;2017-06-08;4;1;205;BARS;BAR-SOFT;158;159
12;;2;;;;;;3;2017-06-08;6;1;25;REST;RESTAURANT;158;159
12;;2;;;;;;3;2017-06-08;8;1;24;REST;RESTAURANT;158;159
13;;2;;;;;;3;2017-06-08;20;1;12;REST;RESTAURANT;158;159
13;;2;;;;;;3;2017-06-08;21;1;17;REST;RESTAURANT;158;159
13;;2;;;;;;3;2017-06-08;22;1;14;REST;RESTAURANT;158;159
13;;2;;;;;;3;2017-06-08;6;1;120;BARS;BAR-SOFT;158;159
13;;2;;;;;;3;2017-06-08;4;1;205;BARS;BAR-SOFT;158;159
13;;2;;;;;;3;2017-06-08;12;1;49;BARA;BAR-ALCOOL;158;159
14;;2;;;;;;3;2017-06-09;20;1;12;REST;RESTAURANT;159;160
14;;2;;;;;;3;2017-06-09;22;1;14;REST;RESTAURANT;159;160
14;;2;;;;;;3;2017-06-09;12;1;182;REST;RESTAURANT;159;160
14;;2;;;;;;3;2017-06-09;8;2;18;REST;RESTAURANT;159;160
14;;2;;;;;;3;2017-06-09;14;1;39;BARA;BAR-ALCOOL;159;160
15;;2;;;;;;1;2017-06-09;19;1;16;REST;RESTAURANT;159;160
15;;2;;;;;;1;2017-06-09;21;1;10;REST;RESTAURANT;159;160
15;;2;;;;;;1;2017-06-09;17;1;11;REST;RESTAURANT;159;160
15;;2;;;;;;1;2017-06-09;4;1;193;BARS;BAR-SOFT;159;160
14;;2;;;;;;3;2017-06-09;2;2;173;BARS;BAR-SOFT;159;160
15;;2;;;;;;1;2017-06-09;7;1;22;REST;RESTAURANT;159;160
15;;2;;;;;;1;2017-06-09;2;1;173;BARS;BAR-SOFT;159;160
