DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,OPINION
2018-01-01,7,5,10,4,7,6,34.1,90,7.125,1020,79.625,7,4,4,308,353,263,météo très défavorable
2018-01-02,7,3,5,1,6,3,15.3,95,7.125,1023,87,7,4,2,356,353,116,météo très défavorable
2018-01-03,10,8,17,9,10,6,26.7,91,7.625,1021,95.875,10,9,6,353,296,356,météo très défavorable
2018-01-04,10,8,12,6,10,9,83.9,97,5.125,1017,98.625,10,9,6,308,308,302,météo très défavorable
2018-01-05,10,9,7,8,10,7,9.7,93,7.5,1011,78.75,10,9,8,296,263,176,météo défavorable
2018-01-06,11,5,5,2,10,8,0.2,82,10,1010,35.25,11,8,4,176,116,116,météo très défavorable
2018-01-07,9,3,7,1,9,5,0,82,10,1016,46.25,9,6,1,116,116,116,météo très défavorable
2018-01-08,11,5,6,2,10,8,0,81,10,1017,50.625,11,7,4,119,116,116,météo très défavorable
2018-01-09,9,5,5,2,8,8,9.5,89,8.25,1018,83.5,9,7,4,293,266,176,météo très défavorable
2018-01-10,8,2,5,-2,7,6,0.2,75,9.375,1019,49.75,8,4,1,116,116,116,météo très défavorable
2018-01-11,8,3,6,0,7,5,0.7,83,8.125,1019,53,8,5,2,176,116,116,météo très défavorable
2018-01-12,7,3,5,2,6,4,0,87,7.625,1024,33.375,7,3,3,143,116,116,météo très défavorable
2018-01-13,10,3,4,0,8,8,0,70,10,1025,4.75,11,2,2,116,116,116,météo très défavorable
2018-01-14,8,2,5,-1,7,5,0,62,10,1023,40.625,8,0,1,116,119,116,météo très défavorable
2018-01-15,8,2,8,-2,7,5,3.3,73,9.75,1024,46.75,8,3,1,116,116,122,météo très défavorable
2018-01-16,8,7,13,6,8,8,34.6,92,7,1016,94.875,8,7,5,302,296,302,météo très défavorable
2018-01-17,7,4,18,5,4,3,30.1,85,7.875,1023,79.25,7,7,0,356,362,362,météo très défavorable
2018-01-18,7,4,9,2,6,7,30.1,92,7.5,1024,94.75,7,6,1,176,302,302,météo très défavorable
2018-01-19,8,6,5,6,7,5,21,94,8.125,1019,81.75,8,7,6,353,293,176,météo très défavorable
2018-01-20,5,1,8,-1,4,3,21.4,86,6.75,1020,89.5,6,5,-1,182,122,302,météo très défavorable
2018-01-21,6,5,6,5,6,3,41.4,97,6.625,1018,97.75,6,6,4,356,302,302,météo très défavorable
2018-01-22,10,7,12,4,9,7,91.7,97,6,1020,98.625,10,9,5,308,308,389,météo très défavorable
2018-01-23,10,5,4,4,8,7,10.2,95,7.375,1030,53.875,10,8,5,248,176,116,météo très défavorable
2018-01-24,15,5,5,0,13,12,0,73,10,1031,6.75,15,10,4,116,116,116,météo correcte
2018-01-25,13,5,5,1,11,10,0,74,10,1026,31.875,13,7,4,116,116,119,météo correcte
2018-01-26,7,5,5,2,7,4,3.9,93,8.375,1022,75.75,7,6,5,119,263,296,météo très défavorable
2018-01-27,9,4,4,-1,8,7,2,87,8.375,1036,51.375,10,6,4,176,116,116,météo très défavorable
2018-01-28,10,4,5,-1,9,8,0,77,10,1039,11.75,11,6,4,116,116,116,météo très défavorable
2018-01-29,10,4,4,-1,10,7,0,84,8.375,1038,34.5,10,7,4,116,116,116,météo très défavorable
2018-01-30,10,4,4,1,9,8,0.1,83,7.5,1033,51.25,10,6,4,116,116,119,météo très défavorable
2018-01-31,11,5,6,1,9,10,0.1,73,16.75,1029,23.125,12,5,4,116,116,116,météo très défavorable
2018-02-01,6,4,6,4,5,4,45.4,96,7.5,1014,72.5,6,4,3,308,302,176,météo très défavorable
2018-02-02,5,2,9,0,4,3,0.1,79,9.375,1011,41.625,5,0,1,332,116,116,météo très défavorable
2018-02-03,4,1,5,-1,3,1,0.7,82,9,1010,68.375,4,0,1,116,332,362,météo très défavorable
2018-02-04,6,1,5,-2,6,3,0,69,9.875,1018,39.375,6,0,0,116,116,116,météo très défavorable
2018-02-05,5,1,5,-1,4,4,1.3,83,9,1020,67,7,1,0,122,317,263,météo très défavorable
2018-02-06,9,4,4,1,8,7,0.1,78,9.375,1018,72.25,10,1,3,122,116,119,météo très défavorable
2018-02-07,2,0,6,0,2,1,0.8,85,6.375,1015,98.375,2,0,-1,332,332,332,météo très défavorable
2018-02-08,4,1,5,-1,3,1,0.9,86,7.125,1019,88.375,4,0,-1,332,326,122,météo très défavorable
