DATE;MAX_TEMPERATURE_C;MIN_TEMPERATURE_C;WINDSPEED_MAX_KMH;TEMPERATURE_MORNING_C;TEMPERATURE_NOON_C;TEMPERATURE_EVENING_C;PRECIP_TOTAL_DAY_MM;HUMIDITY_MAX_PERCENT;VISIBILITY_AVG_KM;PRESSURE_MAX_MB;CLOUDCOVER_AVG_PERCENT;HEATINDEX_MAX_C;DEWPOINT_MAX_C;WINDTEMP_MAX_C;WEATHER_CODE_MORNING;WEATHER_CODE_NOON;WEATHER_CODE_EVENING;OPINION;IndexMeteo
2017-01-01;10;5;4;2;10;3;0;58;10;1029;0;10;0;4;113;113;113;météo très défavorable;1
2017-01-02;6;2;4;1;6;-1;0;70;9.375;1023;34;6;0;2;113;122;116;météo très défavorable;2
2017-01-03;-1;-1;10;-3;-1;-3;0;86;8.625;1027;10.375;0;0;-5;113;113;113;météo très défavorable;3
2017-01-04;1;-1;8;-3;0;0;0.1;69;9.75;1027;15;1;0;-4;113;113;113;météo très défavorable;4
2017-01-05;-1;-3;18;-1;-2;-6;0.3;90;8.875;1030;40.125;0;0;-8;332;323;113;météo très défavorable;5
2017-01-06;-4;-5;9;-5;-4;-8;0;78;10;1033;4.125;0;0;-9;113;113;113;météo très défavorable;6
2017-01-07;-1;-4;7;-6;-1;-6;0;63;10;1033;6.25;0;0;-6;113;113;113;météo très défavorable;7
2017-01-08;-1;-2;9;-2;-1;-4;0.5;85;8.75;1031;58.75;0;0;-6;329;326;326;météo très défavorable;8
2017-01-09;-1;-3;7;-4;-1;-5;0;88;5.625;1029;16.375;0;0;-6;143;113;113;météo très défavorable;9
2017-01-10;2;-1;5;-2;2;-4;6;97;6;1021;63.25;2;1;-3;116;338;338;météo très défavorable;10
2017-01-11;3;-2;5;-5;3;-2;1.2;80;7.625;1021;28.875;3;1;-4;143;113;329;météo très défavorable;11
2017-01-12;8;4;6;1;8;1;7.3;84;9;1022;53.5;8;4;3;113;113;176;météo très défavorable;12
2017-01-13;1;-4;12;-2;-4;-5;27.2;97;4.25;1014;99.875;2;3;-9;338;371;395;météo très défavorable;13
2017-01-14;-2;-5;11;-4;-4;-7;19.5;98;2.375;1021;93.25;0;0;-9;338;338;338;météo très défavorable;14
2017-01-15;-3;-6;9;-10;-3;-9;0.7;92;8;1023;41.25;0;0;-9;113;113;323;météo très défavorable;15
2017-01-16;-4;-7;11;-10;-4;-9;0.2;92;9.625;1022;18.5;0;0;-11;113;113;323;météo très défavorable;16
